avg_test_score,accuracy,precision,recall,f1
0.8731339411302046,0.9648104580965909,0.9528314735284237,0.9604795899688816,0.9566402457645273
0.8868204698418126,0.9679066051136364,0.96092385208069,0.9593713855587582,0.9601469912723932
0.8738430015968554,0.9629165187026515,0.9399381298917716,0.9702717540488608,0.9548640970343123
0.8888238722627814,0.9691532019412878,0.9635503437865302,0.9598485265261961,0.9616958728554695
0.8867346030293088,0.968313506155303,0.966307227687918,0.9548783390395283,0.9605587888610579
0.8890381798599706,0.9687869910037878,0.9594323263667062,0.9634065873641379,0.9614153497219784
0.8775925130555124,0.9627463600852273,0.9431553485038524,0.9658168273685562,0.9543515803119378
0.8694220618768171,0.9639707623106061,0.9528003365525315,0.9578988985123481,0.9553428149615325
0.8910367561109138,0.9686945134943182,0.9649152117617575,0.9568951234329265,0.9608884329030737
0.8846581271200469,0.967477509469697,0.9531299607224173,0.9666510271483638,0.9598428793276698
