avg_test_score,accuracy,precision,recall,f1
0.8327641703865745,0.9553481593276515,0.9471537194975302,0.9415361697823468,0.9443365904720621
0.8309660409436082,0.9546342329545454,0.943605366023747,0.9438478624006461,0.9437265986344615
0.837397732517936,0.9561508641098485,0.9588351710489115,0.9314644596623577,0.9449516573944218
0.8358958598339197,0.9566206498579546,0.9565915040959379,0.9348794981842192,0.9456108861710565
0.8328775113279169,0.9550855232007576,0.9496335117593301,0.9379133125794389,0.9437370255041518
0.8316105008125305,0.9543826941287878,0.9464592373742037,0.9400884046806793,0.9432630639417724
0.8337682828758702,0.9559400153882576,0.9477127796822589,0.9428212579873303,0.9452606907327834
0.8353433428388654,0.9554517341382576,0.9507282478366346,0.9381626738085629,0.9444036654894629
0.8289105747685288,0.9537279533617424,0.9388567887282868,0.946699504672983,0.9427618363434198
0.8332628950928197,0.9549856474905303,0.9514720850102247,0.9359591431825697,0.9436518630678687
